Pack Name,Release Date,Total TCG Score,Pack Score Average,Unlock Cards,Most Older Cards,Most Recent Cards
The Darkness Amuses,2022-01-19,285521,7138.02,"Abyss Actor - Evil Heel, Abyss Actor - Superstar, Abyss Actor - Mellow Madonna, Amazement Administrator Arlekino, Abyss Actor - Leading Lady, Abyss Actor - Wild Hope, Amazement Attendant Comica, Abyss Actor - Hyper Director, Abyss Playhouse - Fantastic Theater, Abyss Script - Rise of the Abyss King, Amazing Time Ticket, Amaze Attraction Cyclo-Coaster",Jester Lord,Amaze Attraction Viking Vortex
Souls of Sublime Gods,2022-01-19,345397,7195.77,"Tsumuha-Kutsunagi the Lord of Swords, Cyber Angel Vrash, Cyber Angel Dakini, Dual Avatar - Empowered Kon-Gyo, Dual Avatar - Empowered Mitsu-Jaku, Sakitama, Yata-Garasu, Amaterasu, Cyber Angel Izana, Shinobaron Peacock, Shinobaroness Peacock, Cyber Angel Benten, Shinobaron Shade Peacock, Shinobaroness Shade Peacock, Dual Avatar - Manifested A-Un, Amano-Iwato, Dual Avatar Invitation, Ritual Sanctuary, Stars Align across the Milky Way",Yata-Garasu,Stars Align Above the Shrine
Worthy Adversaries,2022-01-19,302491,7202.17,"Laevatein, Generaider Boss of Shadows, Jormungandr, Generaider Boss of Eternity, Mardel, Generaider Boss of Light, Subterror Guru, Subterror Behemoth Fiendess, Subterror Behemoth Stalagmo, Harr, Generaider Boss of Storms, Hela, Generaider Boss of Doom, Subterror Behemoth Umastryx, Loptr, Shadow of the Generaider Bosses, Subterror Nemesis Warrior, The Hidden City, Generaider Boss Fight",The Hidden City,"Vala, Seidhr of the Generaider Bosses"
Shot Through Fiction,2022-01-19,375612,7223.31,"Borreload Furious Dragon, Borreload Savage Dragon, Borrelend Dragon, Borreload Dragon, Borrelsword Dragon, Borrelcode Dragon, Absorouter Dragon, Rokket Coder, Rokket Tracer, Silverrokket Dragon, Borrelguard Dragon, Quadborrel Dragon, Striker Dragon, Boot Sector Launch, Quick Launch, Magical Cylinders, Magic Cylinder, Mirror Force, Mirror Force Launcher",Mirror Force,Rokket Coder
Three-Strike Success,2022-01-19,291402,7285.05,"Dinowrestler Pankratops, Dinowrestler King T Wrextle, Gouki The Great Ogre, Gouki Re-Match, Dinowrestler Chimera T Wrextle, Dinowrestler Giga Spinosavate, Gouki The Giant Ogre, Gouki The Master Ogre, Gouki The Powerload Ogre, Gouki The Blade Ogre, Gouki Thunder Ogre, Gouki Jet Ogre",Gouki Twistcobra,Gouki Finishing Move
Essence of Flora and Ocean,2022-01-19,292185,7304.62,"Trickstar Candina, Trickstar Holly Angel, Trickstar Light Stage, Trickstar Reincarnation, Trickstar Corobane, Marincess Blue Tang, Marincess Pascalus, Trickstar Lycoris, Marincess Great Bubble Reef, Marincess Wonder Heart, Trickstar Foxglove Witch, Marincess Coral Anemone",Trickstar Lilybell,Trickstar Festival
Soldiers from the Storm,2022-01-19,293274,7331.85,"Cyberse Clock Dragon, Accesscode Talker, Firewall Dragon, Cynet Mining, Cyberse Quantum Dragon, Lady Debug, Micro Coder, Firewall Dragon Darkfluid, Decode Talker Extended, Excode Talker, Transcode Talker, Code Talker Inverted, Cynet Codec",Firewall Dragon,Code Exporter
Blazing Fortitude,2022-01-19,294931,7373.27,"Salamangreat Pyro Phoenix, Salamangreat Heatleo, Salamangreat Sunlight Wolf, Salamangreat Almiraj, Salamangreat Violet Chimera, Salamangreat Blaze Dragon, Salamangreat Gazelle, Salamangreat Miragestallio, Salamangreat Spinny, Salamangreat Balelynx, Salamangreat Circle, Salamangreat Sanctuary, Salamangreat Roar",Salamangreat Gift,Salamangreat Blaze Dragon
Legends of Old,2022-01-19,266021,7389.47,"Ancient Warriors - Rebellious Lu Feng, Fairy Tail - Luna, Fairy Tail - Snow, Ancient Warriors Oath - Double Dragon Lords, Golden Castle of Stromberg, Ancient Warriors - Ambitious Cao De, Ancient Warriors - Masterful Sun Mou, Ancient Warriors - Virtuous Liu Xuan, Fairy Tail - Rella, Fairy Tail - Rochka, Fairy Tail - Sleeper, Glife the Phantom Bird, Iron Knight",Pop-Up,Fairy Tail Tales
Star-Studded Futures,2022-01-19,325514,7398.05,"Dingirsu, the Orcust of the Evening Star, Krawler Soma, Girsu, the Orcust Mekk-Knight, Mekk-Knight Crusadia Avramax, World Gears of Theurlogical Demiurgy, Avida, Rebuilder of Worlds, Ib the World Chalice Justiciar, Crusadia Equimax, Longirsu, the Orcust Orchestrator, Galatea, the Orcust Automaton, Lib the World Key Blademaster, Crusadia Magius, Vesper Girsu, World Legacy Monstrosity, Orcust Crescendo",Crusadia Power,Vesper Girsu
Vessels of Freedom,2022-01-19,237300,7415.62,"Rafale, Champion Fur Hire, Folgo, Justice Fur Hire, Blackbeard, the Plunder Patroll Captain, Plunder Patroll Shipyarrrd, Plunder Patrollship Brann, Plunder Patrollship Lys, Wiz, Sage Fur Hire, Dyna, Hero Fur Hire, Plunder Patrollship Moerk, Beat, Bladesman Fur Hire",Three Trolling Trolls,"Blackeyes, the Plunder Patroll Seaguide"
Cyber City Guardians,2022-01-19,230711,7442.29,"Virtual World Kyubi - Shenshen, Virtual World Beast - Jiujiu, Virtual World Dragon - Longlong, Tindangle Acute Cerberus, Metaverse, Tindangle Hound, Virtual World Phoenix - Fanfan, Tindangle Dholes, Virtual World Hime - Nyannyan, Virtual World Mai-Hime - Lulu, Pseudo Space",Pseudo Space,Tindangle Jhrelth
Dragon Luster,2022-01-19,298536,7463.4,"Dragonmaid Sheou, House Dragonmaid, Chaos Dragon Levianeer, Starry Night, Starry Dragon, Fantastical Dragon Phantazmay, Chamber Dragonmaid, Keeper of Dragon Magic, Starry Knight Rayel, Kitchen Dragonmaid, Dragonmaid Hospitality, Return of the Dragon Lords, Starry Knight Balefire",Ruins of the Divine Dragon Lords,Starry Knight Ciel
Singular Strike Overthrow,2022-01-19,299168,7479.2,"Geomathmech Final Sigma, Surgical Striker - H.A.M.P., Mathmech Circular, Primathmech Alembertian, Sky Striker Ace - Kagari, Sky Striker Ace - Kagari, Sky Striker Mobilize - Engage!, Sky Striker Mobilize - Linkage!, Sky Striker Mobilize - Engage!, Geomathmech Magma, Mathmech Nabla, Mathmech Sigma, Primathmech Laplacian, Aileron, Sky Striker Ace - Zeke, Sky Striker Ace - Shizuku, Sky Striker Mecha - Hornet Drones, Sky Striker Mecha - Widow Anchor",Sky Striker Mecharmory - Hercules Base,Aileron
Seekers of Witchcraft,2022-01-19,329825,7496.02,"Invoked Elysium, Witchcrafter Vice-Madame, Zoroa, the Magistus Conflagrant Calamity, Witchcrafter Golem Aruru, Rilliona, the Wondrous Magistus Witch Wardrobe, Crowley, the First Propheseer, Witchcrafter Confusion Confession, Invoked Mechaba, Vahram, the Magistus Divinity Dragon, Witchcrafter Madame Verre, Witchcrafter Haine, Aleister the Invoker, Artemis, the Magistus Moon Maiden, Invocation, Witchcrafter Creation",The Book of the Law,Alpha Summon
Space-Time Transcendents,2022-01-19,353451,7520.23,"PSY-Framelord Omega, Time Thief Redoer, S-Force Justify, S:P Little Knight, I:P Masquerena, I:P Masquerena, S-Force Dog Tag, Time Thief Temporwhal, Time Thief Double Barrel, Time Thief Perpetua, Time Thief Winder, EM:P Meowmine, PSY-Framegear Gamma, S-Force Rappa Chiyomaru, PSY-Framelord Lambda, S-Force Nightchaser, Time Thief Power Reserve, Vivid Tail, S-Force Chase",PSY-Frame Overload,EM:P Meowmine
Artistic Angel,2022-01-19,306670,7666.75,"DoSolfachord Coolia, GranSolfachord Coolia, The Weather Painter Moonbow, The Weather Painter Rainbow, GranSolfachord Musecia, Solfachord Elegance, Maple Maiden, The Weather Painter Aurora, SolSolfachord Gracia, The Weather Painter Snow, Ret-time Reviver Emit-ter, DoSolfachord Cutia, Solfachord Symphony, The Weather Forecast, The Weather Snowy Canvas, The Weather Rainbowed Canvas",The Weather Auroral Canvas,Solfachord Symphony
Electron Illusions,2022-01-19,140350,7797.22,"Evil★Twins Ki-sikil & Lil-la, Altergeist Multifaker, Evil★Twin's Trouble Sunny, Altergeist Memorygant, Evil★Twin Ki-sikil, Evil★Twin Lil-la, I:P Masquerena, Secret Password, Altergeist Marionetter, EM:P Meowmine, Altergeist Silquitous, Altergeist Meluseek, Altergeist Hexstia, Evil★Twin Ki-sikil, Evil★Twin Lil-la, Live☆Twin Home, Live☆Twin Sunny's Snitch, Vivid Tail",Altergeist Meluseek,EM:P Meowmine
AI Omniscience,2022-01-19,249529,7797.78,"Light Dragon @Ignister, The Arrival Cyberse @Ignister, Dark Templar @Ignister, Wind Pegasus @Ignister, Fire Phoenix @Ignister, Dark Infant @Ignister, Linguriboh, A.I. Meet You, Ignister A.I.Land, A.I.'s Show",A.I. Shadow,FA.I.ghting Spirit
Celestial Dragon and Bear,2022-01-19,237140,7904.67,"Drytron Meteonis Draconids, Ursarctic Septentrion, Drytron Mu Beta Fafnir, Meteonis Drytron, Drytron Meteonis Quadrantids, Ursarctic Grand Chariot, Ursarctic Mikpolar, Drytron Alpha Thuban, Ursarctic Polari, Sacred Sword of Seven Stars, Ursarctic Departure",Sacred Sword of Seven Stars,Drytron Mu Beta Fafnir
Echo Chamber Nation,2022-01-19,319909,7997.73,"Dogmatika Fleurdelis, the Knighted, Springans Ship - Exblowrer, Tri-Brigade Shuraig the Ominous Omen, Nadir Servant, Dogmatika Maximus, White Knight of Dogmatika, Dogmatika Ecclesia, the Virtuous, Springans Merrymaker, Tri-Brigade Bearbrumm the Rampant Rampager, Tri-Brigade Ferrijit the Barren Blossom, Springans Watch, Tri-Brigade Airborne Assault",Dogmatika Encounter,Springans Interluder
Alba Abyss,2022-11-29,329497,8237.42,"Alba-Lenatus the Abyss Dragon, Lubellion the Searing Dragon, Mirrorjade the Iceblade Dragon, Albion the Branded Dragon, Titaniklad the Ash Dragon, Tri-Brigade Mercourier, Branded Fusion, Branded Lost, Nadir Servant, Albaz the Ashen, The Golden Swordsoul, Incredible Ecclesia, the Virtuous, Dogmatika Ecclesia, the Virtuous, Fallen of Albaz, Springans Merrymaker, Branded in High Spirits, Branded in White, Branded Banishment",Dogmatika Encounter,Branded Expulsion
True Dracos' Forging,2022-12-06,267430,6685.75,"Master Peace, the True Dracoslaying King, Master Peace, the True Dracoslayer, Ignis Phoenix, the Dracoslayer, Majesty Pegasus, the Dracoslayer, Mariamne, the True Dracophoenix, Metaltron XII, the True Dracombatant, True King Agnimazud, the Vanisher, True King Bahrastos, the Fathomer, True King Lithosagym, the Disaster, Amorphage Goliath, Amorphactor Pain, the Imagination Dracoverlord, Dinomight Knight, the True Dracofighter, Dinomight Powerload, the Dracoslayer, Luster Pendulum, the Dracoslayer, Nightmell the Dark Bonder, Draco Face-Off, Dragonic Diagram, Wavering Eyes, Unending Nightmare, Unwavering Bond",Risebell the Star Adjuster,Dragonic Pendulum
The Trap in the Wicked Castle,2023-07-13,263868,6596.7,"Lady Labrynth of the Silver Castle, Lovely Labrynth of the Silver Castle, Curse Necrofear, Dark Sanctuary, Dark Spirit's Mastery, Big Welcome Labrynth, Welcome Labrynth, Ariane the Labrynth Servant, Arianna the Labrynth Servant, Dark Spirit of Banishment, Dark Spirit of Malice, Absolute King Back Jack, Labrynth Labyrinth, Archfiend's Ghastly Glitch, Labrynth Barrage, Destiny Board",Sangan,Diabolica the Draconique General
The Ultimate Traditional Art,2023-07-27,290760,6186.38,"Psychic End Punisher, Ukiyoe-P.U.N.K. Amazing Dragon, Karakuri Super Shogun mdl 00N ""Bureibu"", Ukiyoe-P.U.N.K. Rising Carp, Thought Ruler Archfiend, Noh-P.U.N.K. Deer Note, P.U.N.K. JAM Dragon Drive, Noh-P.U.N.K. Foxy Tune, Noh-P.U.N.K. Ogre Dance, Karakuri Steel Shogun mdl 00X ""Bureido"", Karakuri Shogun mdl 00 ""Burei"", Karakuri Bonze mdl 9763 ""Kunamzan"", Noh-P.U.N.K. Ze Amin, Karakuri Komachi mdl 224 ""Ninishi"", Karakuri Merchant mdl 177 ""Inashichi"", Aussa the Earth Charmer, Immovable, P.U.N.K. JAM Extreme Session, Karakuri Cash Cache",Spiritual Earth Art - Kurogane,P.U.N.K. JAM Extreme Session
Guardian of the Sacred Summit,2023-07-27,276983,6924.57,"Swordsoul Sinister Sovereign - Qixing Longyuan, Swordsoul Supreme Sovereign - Chengying, Chaofeng, Phantom of the Yang Zing, Swordsoul Grandmaster - Chixiao, The Iris Swordsoul, Denglong, First of the Yang Zing, Swordsoul of Mo Ye, The Abyss Dragon Swordsoul, Baxia, Brightness of the Yang Zing, Yazi, Evil of the Yang Zing, The Golden Swordsoul, Incredible Ecclesia, the Virtuous, Jiaotu, Darkness of the Yang Zing, Swordsoul Emergence, Nine Pillars of Yang Zing, Waterfall of Dragon Souls",Yang Zing Unleashed,The Abyss Dragon Swordsoul
Guided by Fate,2023-08-10,314113,7852.82,"Magikey Fiend - Transfurlmine, Magikey Dragon - Andrabime, Illegal Knight, Wandering Gryphon Rider, Water Enchantress of the Temple, Rite of Aramesir, Yakusa, Lord of the Eight Thunders, Magikey Mechmortar - Garesglasser, Magikey Spirit - Vepartu, Curse of Aramatir, Fateful Adventure, Supernatural Danger Zone, High Ritual Art, Advanced Ritual Art, Hidden Armory, Armory Call",Justi-Break,Celestial Apparatus Tesea
Beastly Claws of Terror,2023-08-29,268447,5835.8,"XX-Saber Gottoms, Visas Starfrost, Scareclaw Reichheart, M-X-Saber Invoker, Scareclaw Tri-Heart, Scareclaw Light-Heart, Primitive Planet Reichphobia, Gottoms' Emergency Call, Scareclaw Kashtira, XX-Saber Faultroll, XX-Saber Hyunlei, X-Saber Wayne, XX-Saber Darksoul, Scareclaw Straddle, Book of Eclipse, Book of Lunar Eclipse, Scareclaw Alternative",Book of Eclipse,Scareclaw Defanging
The Noble Knights of Crimson Flowers,2023-09-07,282928,7073.2,"Baronne de Fleur, Infernoble Knight Emperor Charles, Sauge de Fleur, Ecole de Zone, Tuning, Chevalier de Fleur, Sorciere de Fleur, Centaur Mina, Infernoble Knight Captain Oliver, Infernoble Knight Ogier, Horse of the Floral Knights, Necro Synchron, Infernoble Knight - Renaud, Fleuret de Fleur, Soul Binding Gate",Synchro Fusionist,Noble Knight's Spearholder
Beetle Troops Roll Out,2023-09-19,250418,6260.45,"Ultra Beetrooper Absolute Hercules, Beetrooper Sting Lancer, Inzektor Exa-Beetle, Inzektor Dragonfly, Giant Beetrooper Invincible Atlas, Inzektor Giga-Mantis, Primitive Butterfly, Inzektor Hornet, Smoke Mosquito, Seraphim Papillion, Beetrooper Armor Horn, Inzektor Picofalena, Zektrike Kou-ou, Beetrooper Descent, Inzektor Sword - Zektkaliber",Scary Moth,Dragonbite
The Opening Act of an Apocalypse,2023-10-10,275413,6885.32,"The First Darklord, Granguignol the Dusk Dragon, Masquerade the Blazing Dragon, Despian Quaeritis, Darklord Superbia, Blazing Cartesia, the Virtuous, Darklord Morningstar, Darklord Ixchel, Dramaturge of Despia, Darklord Nasten, Darklord Amdusc, Aluber the Jester of Despia, Condemned Darklord, Banishment of the Darklords, Branded Banishment, Darklord Rebellion",Darklord Marie,Granguignol the Dusk Dragon
Fires of Scorching Bonds,2023-10-30,299135,7478.38,"Libromancer Fireburst, Libromancer Doombroker, Libromancer Fire, Cyberse Gadget, Topologic Zeroboros, Topologic Trisbaena, Libromancer First Appearance, Libromancer Mystigirl, Libromancer Geek Boy, Draconnet, Topologic Bomber Dragon, Brute Enforcer, Link Disciple, Libromancer Origin Story, Pre-Preparation of Rites, Preparation of Rites, Libromancer Displaced, Libromancer Intervention",Manju of the Ten Thousand Hands,Libromancer Origin Story
Treasures of the Cosmic Ocean,2023-10-30,325999,8149.98,"Ghoti of the Deep Beyond, Icejade Gymir Aegirine, Icejade Kosmochlor, White Aura Bihamut, Moray of Avarice, The Most Distant, Deepest Depths, Icejade Cenote Enion Cradle, Icejade Creation Kingfisher, Askaan, the Bicorned Ghoti, Guoglim, Spear of the Ghoti, White Aura Whale, Icejade Creation Aegirocassis, Arionpos, Serpent of the Ghoti, Icejade Aegirine, Paces, Light of the Ghoti, Icejade Manifestation, Icejade Curse, Icejade Cradle, Ghoti Chain, White Howling",Surface,Minairuka
Sisters of the Light,2023-11-09,275517,6887.93,"Exosisters Magnifica, Artifact Scythe, Exosister Martha, Exosister Mikailis, Exosister Pax, Artifact Sanctum, Artifact Durendal, Artifact Lancea, Artifact Moralltach, Exosister Gibrine, Exosister Sophia, Exosister Stella, Artifact Dagda, Artifact Ignition, Twin Twisters, Exosister Returnia, Exosister Vadis",Double Cyclone,Double Dust Tornado Twins
The Ones Who Serve Ra,2023-11-27,255654,6391.35,"The Winged Dragon of Ra, The Winged Dragon of Ra - Immortal Phoenix, The Winged Dragon of Ra - Sphere Mode, Keldo the Sacred Protector, Gravekeeper's Trap, Egyptian God Slime, Lava Golem, Mudora the Sword Oracle, World Soul - Carbon, Gravekeeper's Inscription, Ancient Chant, Left Arm Offering, Millennium Revelation, Mound of the Bound Creator, Temple of the Kings, Apophis the Swamp Deity, Exchange of Despair and Hope, Dark Spell Regeneration, Exchange of the Spirit",Jam Defender,Qardan the Clear-Sighted
Fighting Spirit of Sparking Iron,2023-11-27,333074,8326.85,"Therion Irregular, Gigantic “Champion” Sargas, Therion ""King"" Regulus, Albion the Branded Dragon, Springans Ship - Exblowrer, Endless Engine Argyro System, Therion Discolosseum, Therion ""Empress"" Alasia, Therion ""Lily"" Borea, Albaz the Ashen, Springans Merrymaker, Tally-ho! Springans, Therion Charge, Branded in High Spirits, Branded in White, Springans Watch, Therion Cross",Springans Call!,Gigantic Thundercross
Dragon Kings from the Abyss,2023-12-05,257482,6437.05,"Bystial Dis Pater, The Bystial Lubellion, Bystial Magnamhut, Hieratic Seal of the Heavenly Spheres, Hieratic Seal of Convocation, The Bystial Alba Los, Hieratic Sky Dragon Overlord of Heliopolis, Hieratic Sun Dragon Overlord of Heliopolis, Bystial Baldrake, Bystial Druiswurm, Bystial Saronir, Hieratic Dragon King of Atum, The Bystial Aluber, Branded Regained, Hieratic Seal of Creation, Branded Befallen",Advance Draw,Etude of the Branded
The Bizarre Playing Board,2023-12-05,232239,8008.24,"Arktos XII - Chronochasm Vaylantz, Mamonaka the Vaylantz United, Performapal Monkeyboard, Performapal Celestial Magician, Performapal Pendulum Sorcerer, Vaylantz World - Konig Wissen, Vaylantz World - Shinra Bansho, Vaylantz Genesis Grand Duke, Performapal BaroKuriboh, Performapal Duelist Extraordinaire, Performapal Gentrude, Performapal Skullcrobat Joker, Performapal Ladyange, Shinonome the Vaylantz Priestess, Performapal ClassiKuriboh, Performapal Odd-Eyes Valet, Vaylantz Wakening - Solo Activation, Performapal Dramatic Theater",Performapal Pinch Helper,Performapal Odd-Eyes Valet
Transcendentalism,2024-01-10,324213,8105.32,"Transcendosaurus Meteorus, Doodle Beast - Tyranno, Dinomorphia Rexterm, Dyna Tank, Dinomorphia Kentregina, Dinomorphia Therizia, Ground Xeno, Dinomorphia Domain, Storagepod, Xeno Meteorus, Dinomorphia Stealthbergia, Doodle Beast - Stego, Dyna Base, Transcendosaurus Exaraptor, Dinomorphia Intact, Doodlebook - Uh uh uh!, Dinomorphia Frenzy, Dinomorphia Reversion",Fossil Excavation,Transcendosaurus Exaraptor
Hope Sprouting in the Spring Breeze,2024-01-29,286826,7354.51,"Vera the Vernusylph Goddess, Aussa the Earth Channeler, Vernusylph of the Flourishing Hills, G Golem Pebble Dog, G Golem Invalid Dolmen, Gravity Balance, Grandtusk Dragon, Beast King Barbaros, King Beast Barbaros, Vernusylph of the Awakening Forests, World Soul - Carbon, Vernusylph of the Misting Seedlings, G Golem Dignified Trilithon, Tri-Gate Wizard, G Golem Crystal Heart, Aussa the Earth Charmer, Immovable, Vernusylph Corolla, Vernusylph in Full Bloom",Aussa the Earth Charmer,G Golem Rock Hammer
Burst of Zapping Energy!,2024-02-07,242671,6066.77,"Batteryman Solar, Gigantic Spright, Spright Blue, Spright Sprind, Spright Elf, Spright Starter, Batteryman Industrial Strength, Super-Electromagnetic Voltech Dragon, Batteryman 9-Volt, Onibimaru Soul Sweeper, Spright Jet, Ipiria, Sky Cavalry Centaurea, Some Summer Summoner, Universal Adapter",Battery Charger,Fallen of Argyros
Songstress of Sorrow Song,2024-03-08,277925,6463.37,"Tearlaments Kaleido-Heart, Tearlaments Rulkallos, Mermail Abyssgaios, Tearlaments Reinoheart, Tearlaments Scheiren, Mermail Abyssalacia, Primeval Planet Perlereino, Tearlaments Scream, Tearlaments Kashtira, Mermail Abyssleed, Mermail Abyssmegalo, Mermail Abyssteus, Tearlaments Kitkallos, Supreme Sea Mare, Mermail Abyssgunde, Tearlaments Perlegia",Forgotten Temple of the Deep,Tearlaments Perlegia
"Rescue Team, Emergency Dispatch!",2024-04-11,280542,7013.55,"Machina Ruinforce, Machina Citadel, Rescue-ACE Turbulence, Rescue-ACE Preventer, Machina Fortress, Rescue-ACE Hydrant, EMERGENCY!, Machina Metalcruncher, Machina Air Raider, Rescue-ACE Air Lifter, Rescue-ACE Monitor, Machina Unclaspare, Rescue-ACE Impulse, Machina Redeployment, Machine Duplication, Unauthorized Reactivation, Dimensional Prison",Rare Metalmorph,EMERGENCY!
My Cute Lovely Friends,2024-04-11,314454,7861.35,"Expurrely Happiness, Expurrely Noir, Epurrely Noir, Joyous Melffys, Melffy of the Forest, My Friend Purrely, Purrely Sleepy Memory, Epurrely Beauty, Epurrely Happiness, Epurrely Plump, Melffy Wally, Hop Ear Squadron, Melffy Mommy, Kinka-byo, Melffy Staring Contest",Sea Koala,Purrely Sharely!?
A Dance Dedicated to the Heavens,2024-04-12,229975,5749.38,"Guardian Eatos, Ohime the Manifested Mikanko, Original Bamboo Sword, Mikanko Fire Dance, Mikanko Water Arabesque, Mikanko Spiritwalk, Arahime the Manifested Mikanko, Guardian Dreadscythe, Ha-Re the Sword Mikanko, Hu-Li the Jewel Mikanko, Ni-Ni the Mirror Mikanko, Mikanko Dance - Mayowashidori, Cursed Bamboo Sword, Golden Bamboo Sword, Hidden Armory, Power of the Guardians, Armory Call",Wicked-Breaking Flamberge - Baou,Arahime the Manifested Mikanko
Wings That Span the Sky,2024-04-24,282108,7052.7,"Floowandereeze & Snowl, Simorgh, Bird of Sovereignty, Floowandereeze and the Advent of Adventure, Simorgh Onslaught, Floowandereeze & Empen, Simorgh of Darkness, Simorgh, Lord of the Storm, Dark Simorgh, Transonic Bird, Simorgh, Bird of Bringing, Floowandereeze & Eglen, Floowandereeze & Robina, D.D. Crow, Floowandereeze and the Unexplored Winds","Simorgh, Bird of Divinity",Laughing Puffin
Raging God of the Sea,2024-04-24,299108,7477.7,"Mega Fortress Whale, CXyz N.As.Ch. Knight, N.As.H. Knight, Ocean Dragon Lord - Kairyu-Shin, Worldsea Dragon Zealantis, Barian's Chaos Draw, Seventh Ascension, Navy Dragon Mech, Citadel Whale, Abyss Shark, Supreme Sea Mare, Doom Kraken, Yorishiro of the Aqua, Full Armored Black Ray Lancer, Number 71: Rebarian Shark, Yamatako Orochi, Fish Sonar, Fury of Kairyu-Shin",Torrential Tribute,Dream Shark
A Full Course of Magic,2024-05-09,300816,7713.23,"Baelgrill de Nouvelles, Poissonniere de Nouvelles, Nouvelles Restaurant ""At Table"", Ready Fusion, Patissciel Couverture, Balameuniere de Nouvelles, Gunkan Suship Uni-class Super-Dreadnought, Sea Monster of Theseus, Gunkan Suship Shari Red, Gunkan Suship Shirauo-class Carrier, Gunkan Suship Catch-of-the-Day, Concours de Cuisine (Culinary Confrontation), Voici la Carte (Today's Menu), Painful Decision, Chef's Special Recipe, Fusion Duplication",Hamburger Recipe,Concours de Cuisine (Culinary Confrontation)
VS NEW CHALLENGER!,2024-06-07,199520,7125.71,"Gizmek Okami, the Dreaded Deluge Dragon, Gizmek Kaku, the Supreme Shining Sky Stag, Vanquish Soul Caesar Valius, Gizmek Orochi, the Serpentron Sky Slasher, Vanquish Soul Dr. Mad Love, Vanquish Soul Razen, Stake your Soul!, Vanquish Soul Heavy Borger, Gizmek Uka, the Festive Fox of Fecundity, Vanquish Soul Jiaolong, Skull Meister, Gren Maju Da Eiza, Swift Scarecrow, Rock of the Vanquisher, Vanquish Soul Dust Devil, Ledger of Legerdemain, Pinpoint Landing, Sacred Scrolls of the Gizmek Legend",Gren Maju Da Eiza,Vanquish Soul Jiaolong
A Warrior of Seething Anger,2024-07-11,282117,7052.93,"Gate Guardians Combined, Kashtira Arise-Heart, Kashtira Fenrir, Kashtira Unicorn, Kashtira Riseheart, Kashtiratheosis, Pressured Planet Wraitsoth, Trivikarma, Gate Guardian of Thunder and Wind, Gate Guardian of Water and Thunder, Gate Guardian of Wind and Water, Scareclaw Kashtira, Tearlaments Kashtira, Kashtira Shangri-Ira, Shadow Ghoul of the Labyrinth, Riryoku Guardian, Kashtira Birth, Kashtira Big Bang",Suijin,Kashtira Akstra
Evoked Dragon of Miracles,2024-08-08,314132,6828.96,"Cosmic Quasar Dragon, Crimson Dragon, Shooting Majestic Star Dragon, Stardust Dragon, Accel Synchro Stardust Dragon, Stardust Dragon, Junk Warrior, Junk Warrior, Revolution Synchron, Assault Synchron, Tuning, Tuning, Red Dragon Archfiend, Wheel Synchron, Stardust Synchron, Formula Synchron, Stardust Wurm, Duelist Genesis, Final Cross, On Your Mark, Get Set, DUEL!, Stardust Illumination, Synchro Overtake, Stardust Mirage",Junk Warrior,Synchro Rumble
Adventure of Mystical Etchings,2024-09-12,314429,7860.73,"Laevatein, Generaider Boss of Shadows, Jormungandr, Generaider Boss of Eternity, Mardel, Generaider Boss of Light, Munin the Runick Wings, Hugin the Runick Wings, Runick Fountain, Runick Tip, Sleipnir the Runick Mane, Harr, Generaider Boss of Storms, Hela, Generaider Boss of Doom, Freki the Runick Fangs, Geri the Runick Fangs, Loptr, Shadow of the Generaider Bosses, Runick Destruction, Runick Flashing Fire, Runick Freezing Curses, Runick Golden Droplet, Generaider Boss Fight",Number 53: Heart-eartH,Sleipnir the Runick Mane
New World Replete With Joy,2024-09-12,331501,8287.52,"Veda Kalarcanum, Mannadium Prime-Heart, Veda Kalanta, Visas Amritara, Vicious Astraloud, Visas Starfrost, Mannadium Riumheart, Peaceful Planet Calarium, Stardust Spark Dragon, Mannadium Trisukta, Golden Cloud Beast - Malong, Visas Samsara, Ages of Stars and Frost, Realm Elegy, Realm Eulogy, Mannadium Abscission, Valhalla, Hall of the Fallen, Mannadium Reframing","Valhalla, Hall of the Fallen",Ages of Stars and Frost
Tricky Reception,2024-10-28,642401,7557.66,"DPH Gendamoore, Gold Pride - Eradicator, Doomking Balerdroch, Thunder Dragon Colossus, Disablaster the Negation Fortress, Krishnerd Witch, Ghostrick Angel of Mischief, Infernity Archfiend, Underworld Goddess of the Closed World, Summon Sorceress, Moon of the Closed Heaven, Chicken Game, Metaverse, Conbirdable, Time Reloader, Dragonecro Nethersoul Dragon, Gold Pride - Eliminator, Thunder Dragondark, Hallo, the Spirit of Tricks, Ween, the Spirit of Treats, Ghost Wyvern, the Underworld Dragon, Mathmech Sigma, Cursed Fire King Doom Burst, Gold Pride - Captain Carrie, Infernity Necromancer, Ghost Charon, the Underworld Boatman, Ghostrick Lantern, Paralyzing Mushroom, Multi-Universe, Mutamorphosis, Sunset Beat, This Creepy Little Punk, Thunder Dragon Fusion, Terrors of the Afterroot, Ghostrick or Treat",Infernity Dwarf,Infernity Queen
