Pack Name,Release Date,OCG Score,Pack Score Average,Unlock Cards,Most Older Cards,Most Recent Cards
Transfigured Heroes,2022-01-19,182635,4936.081081081081,"Evil HERO Dark Gaia, Evil HERO Malicious Bane, Evil HERO Malicious Fiend, Masked HERO Dark Law, Super Polymerization, Masked HERO Acid, Masked HERO Blast, Elemental HERO Shadow Mist, Evil HERO Adusted Gold, Dark Calling, Dark Fusion, Evil Mind, Mask Change, Mask Change II",,
Denizens of Sacred Tree Grove,2022-01-19,186328,4333.209302325581,"Naturia Landoise, Naturia Barkion, Naturia Beast, Naturia Mole Cricket, Naturia Exterio, Naturia Gaiastrio, Naturia Bamboo Shoot, Naturia Cliff, Naturia Rosewhip, Naturia Sacred Tree",,
Valiant Gladiator Beasts,2022-01-19,186360,4659.0,"Gladiator Beast Domitianus, Gladiator Beast Heraklinos, Gladiator Beast Gyzarus, Test Panther, Gladiator Beast Nerokius, Gladiator Beast Vespasius, Gladiator Beast Bestiari, Gladiator Beast Equeste, Gladiator Beast Dragases, Gladiator Beast United, Gladiator Proving Ground, Gladiator Beast War Chariot",,
Monster Overdrive,2022-01-19,193886,4847.15,"Armed Dragon LV10 White, Armed Dragon Thunder LV10, Horus the Black Flame Dragon LV8, Silent Swordsman LV7, Armed Dragon LV10, Armed Dragon Thunder LV7, Dark Armed Dragon, Pile Armed Dragon, Horus the Black Flame Dragon LV6, Armed Dragon, the Armored Dragon, Silent Magician, Silent Swordsman",,
Glacial Seal,2022-01-19,194587,4864.675,"Trishula, Zero Dragon of the Ice Barrier, Trishula, Dragon of the Ice Barrier, Gungnir, Dragon of the Ice Barrier, Brionac, Dragon of the Ice Barrier, Dewloren, Tiger King of the Ice Barrier, General Raiho of the Ice Barrier, General Wayne of the Ice Barrier, Revealer of the Ice Barrier, Speaker for the Ice Barriers, Freezing Chains of the Ice Barrier, Medallion of the Ice Barrier, Terror of Trishula",,
The Cost of Dark Powers,2022-01-19,195029,4875.725,"Thought Ruler Archfiend, Zerrziel, Ruler of the Evil Eyed, Gorgon, Empress of the Evil Eyed, Masterking Archfiend, Medusa, Watcher of the Evil Eye, Serziel, Watcher of the Evil Eye, Archfiend Heiress, Evil Eye Domain - Pareidolia, Evil Eye Repose, Evil Eye of Gorgoneio, Evil Eye of Selene, Evil Eye Mesmerism",,
The Infinite Void,2022-01-19,196164,4904.1,"Infernity Doom Dragon, Void Ogre Dragon, Infernity Archfiend, Infernity Launcher, Infernity Doom Archfiend, Infernity Necromancer, Infernity Mirage, Infernity Pawn, Allure of Darkness, Into the Void, The Beginning of the End, ZERO-MAX, Infernity Barrier",,
Terra Firma Transcendants,2022-01-19,197738,4943.45,"Malefic Truth Dragon, Earthbound Immortal Aslla piscu, Earthbound Immortal Chacu Challhua, Malefic Paradigm Dragon, Earthbound Immortal Ccapac Apu, Earthbound Immortal Ccarayhua, Malefic Paradox Dragon, Hundred Eyes Dragon, Ascator, Dawnwalker, Supay, Duskwalker, Earthbound Geoglyph, Malefic Territory",,
Soaring on Darkest Wings,2022-01-19,197751,4943.775,"Assault Blackwing - Onimaru the Divine Thunder, Blackwing Full Armor Master, Assault Blackwing - Raikiri the Rain Shower, Blackwing - Nothung the Starlight, Blackwing - Zephyros the Elite, Black-Winged Dragon, Blackfeather Darkrage Dragon, Blackwing - Simoon the Poison Wind, Blackwing Armed Wing, Blackwing - Gram the Shining Star, Blackwing - Gale the Whirlwind, Blackwing - Vayu the Emblem of Honor, Black Whirlwind",,
Galaxy War,2022-01-19,197880,4947.0,"B.E.S. Blaster Cannon Core, Kozmo Dark Eclipser, Kozmo Farmgirl, B.E.F. Zelos, B.E.S. Big Core MK-3, Kozmo Dark Destroyer, Kozmo Sliprider, Vic Viper T301, Kozmo Tincan, Boss Rush, Kozmotown, Safe Zone",,
